Elapsed_Time, System_Time, Elbow_Angle_L, Elbow_Speed_L, Elbow_Angle_R, Elbow_Speed_R, ArmUD_Angle_L, ArmUD_Speed_L, ArmUD_Angle_R, ArmUD_Speed_R, ArmLR_Angle_L, ArmLR_Speed_L, ArmLR_Angle_R, ArmLR_Speed_R
4.642046, 19:49:54.746,123.7292,-3.591968,128.8718,0.9801651,10.84383,5.355696,7.01621,-4.67518,31.81463,1.868748,143.8585,1.463841,
4.695285, 19:49:54.827,123.5144,-3.087606,128.9411,0.9430763,11.17224,5.077693,6.755667,-3.432861,31.94073,2.153685,143.8646,-0.6447892,
4.774332, 19:49:54.880,123.3208,-3.139792,128.9966,0.9367874,11.51554,5.554368,6.56209,-2.817194,32.09953,3.422035,143.7732,-1.009624,
4.828313, 19:49:54.944,123.0967,-3.428415,129.0658,0.6189136,11.91112,6.065322,6.380903,-2.206815,32.39596,4.930403,143.7303,-3.581078,
4.892573, 19:49:54.995,122.9154,-2.169244,129.0698,1.035746,12.23271,4.162413,6.301153,-2.577809,32.68251,3.783092,143.3497,-2.559134,
4.943902, 19:49:55.049,122.846,-0.861222,129.1855,1.197469,12.39225,2.294082,6.082937,-2.689141,32.83324,2.104156,143.4344,-2.981869,
4.999216, 19:49:55.120,122.8236,-0.1370559,129.1975,-0.2498111,12.47736,1.265398,6.014377,-0.5324737,32.9069,0.9956601,143.0317,-8.218737,
5.069485, 19:49:55.173,122.8288,0.3270104,129.1541,-0.5064597,12.55116,1.064511,6.016068,-0.01125857,32.95828,0.8023322,142.4023,-10.562,
5.121235, 19:49:55.244,122.8635,0.8663948,129.1357,0.003976854,12.60725,0.6206222,6.013003,-0.3509301,33.0048,0.290186,141.743,-9.592171,
5.192266, 19:49:55.298,122.9352,1.230563,129.1546,-0.0457617,12.62736,0.1954177,5.97298,-0.242518,32.99391,-0.3922083,141.2246,-9.216651,
5.246275, 19:49:55.369,123.0173,1.340574,129.1299,-0.3611307,12.63168,-0.01541654,5.982679,0.2392889,32.95576,-0.595077,140.5905,-9.298291,
5.317038, 19:49:55.439,123.1024,1.380653,129.1095,-0.4183566,12.62544,0.03554704,6.002837,0.428376,32.91966,-0.6766195,140.0644,-7.550139,
5.387098, 19:49:55.494,123.2118,-14.84515,129.071,-0.738277,12.63669,0.4869896,6.043004,0.7432222,32.86047,-0.9779777,139.5273,-8.680359,
5.442969, 19:49:55.547,121.233,-52.92683,129.0166,-1.213575,12.68677,0.7795191,6.096431,1.12369,32.7965,-1.243174,138.9713,-10.88916,
5.49523, 19:49:55.623,117.4887,-54.5825,128.9398,-1.192423,12.72098,0.621061,6.16451,0.9357837,32.72605,-0.961985,138.3498,-8.077475,
5.571727, 19:49:55.672,114.205,-25.76954,128.863,-1.351552,12.76673,0.8057098,6.216921,0.8743633,32.67264,-0.6267004,137.9312,-6.298542,
5.620298, 19:49:55.725,114.2657,0.2901688,128.7708,-1.678556,12.82175,1.074172,6.273866,0.9911517,32.64767,-0.1378376,137.5621,-6.225032,
5.673849, 19:49:55.800,114.2347,0.533926,128.6916,-0.8701941,12.87643,0.8204303,6.318139,0.2944613,32.65856,0.1157761,137.2955,-2.567887,
5.748601, 19:49:55.850,114.3342,13.15253,128.6591,-0.4310591,12.92701,0.7054703,6.311646,-0.1619701,32.66252,0.08986476,137.2326,-0.5808236,
5.799371, 19:49:55.924,115.8856,-24.17996,128.6375,-0.4087232,12.96498,0.6198415,6.297808,-0.1343108,32.66984,0.3933015,137.2226,-1.147259,
5.873517, 19:49:55.972,111.3138,-52.33865,128.6081,-0.07865577,13.00444,0.5828446,6.294868,-0.9764278,32.71165,0.6644958,137.0893,2.413417,
5.920036, 19:49:56.044,109.5702,-81.45575,128.628,0.03382785,13.03531,0.4255209,6.179988,-1.709491,32.75002,0.6071142,137.5138,6.601665,
5.993051, 19:49:56.097,101.5771,-47.25135,128.6121,-0.3163649,13.0553,0.1860934,6.090526,-1.226513,32.78422,0.3605826,137.8784,4.321739,
6.044956, 19:49:56.171,103.6675,-15.51922,128.5885,-0.2089385,13.05856,0.01458744,6.026772,-1.303452,32.79507,0.2965685,138.0537,3.705103,
6.119685, 19:49:56.228,99.61179,-37.71694,128.5856,-0.2266197,13.05715,-0.02861815,5.925465,-1.582257,32.82178,0.4072526,138.3476,6.820333,
6.176186, 19:49:56.294,98.71793,-11.2268,128.5588,-0.9034223,13.0548,-0.03520371,5.819132,-1.372266,32.84851,0.449944,138.9487,7.96227,
6.242729, 19:49:56.347,98.23041,130.4803,128.4745,-1.655567,13.05282,-0.04827719,5.756616,-0.8106924,32.87714,0.4294989,139.3273,5.519288,
6.294731, 19:49:56.420,114.1857,167.6253,128.3625,-2.050852,13.04908,-0.08017339,5.723029,-0.4152534,32.89943,0.2337589,139.603,3.976937,
6.369674, 19:49:56.499,119.5096,65.97138,128.2141,-2.362163,13.04264,0.01190918,5.703902,0.07142389,32.90681,0.4513755,139.8322,0.6915815,
6.447521, 19:49:56.544,124.2655,53.95113,128.0016,-4.155574,13.0509,0.1999883,5.733942,1.301243,32.96839,1.092489,139.7087,-7.220433,
6.492238, 19:49:56.597,126.1221,21.51497,127.7048,-6.32102,13.06715,0.4572457,5.863387,3.078073,33.04071,1.729136,138.9472,-18.36042,
6.546091, 19:49:56.649,126.3862,0.2457597,127.3785,-6.724452,13.09597,0.5466092,6.037347,4.426592,33.13883,1.829086,137.8989,-26.70748,
6.597663, 19:49:56.721,126.148,-10.56101,126.9959,-6.9952,13.12478,0.3495451,6.330064,5.793295,33.23355,1.283037,136.1315,-33.30941,
6.670361, 19:49:56.778,125.0738,-15.8028,126.5092,-8.005971,13.13941,0.1667973,6.757279,7.2036,33.29827,0.7562208,133.7596,-37.96861,
6.726074, 19:49:56.834,124.1187,-15.22704,125.9678,-8.689128,13.1462,-0.2808494,7.255085,7.909081,33.33065,-0.1543054,131.256,-38.25342,
6.782351, 19:49:56.891,123.3685,-11.2378,125.5361,-6.858598,13.10795,-0.6969571,7.643013,6.134794,33.28099,-0.9218702,129.4756,-27.51096,
6.841454, 19:49:56.969,122.8221,-7.160903,125.1765,-4.609354,13.06578,-0.7451839,7.962916,3.856605,33.22429,-0.9379978,128.0818,-16.11773,
6.918314, 19:49:57.022,122.3949,-5.679916,124.9094,-3.637773,13.00664,-0.857682,8.167369,2.740962,33.15346,-1.010352,127.2842,-10.37259,
6.971346, 19:49:57.096,122.0843,-4.292614,124.704,-3.796192,12.95438,-0.5933048,8.318946,2.485401,33.09305,-0.5388977,126.7344,-7.602031,
7.044045, 19:49:57.152,121.8552,-3.0599,124.4321,-3.747809,12.93204,-0.2756147,8.479863,2.102964,33.0857,0.01932495,126.3283,-5.094699,
7.101629, 19:49:57.202,121.6857,-61.73492,124.2157,-3.519242,12.91847,-0.4950368,8.592925,1.834054,33.09557,-0.1048752,126.0707,-4.461021,
7.151311, 19:49:57.269,115.2331,-54.53336,124.0546,-2.530937,12.87894,-0.7124469,8.676595,1.284141,33.07446,-0.4787193,125.8498,-3.374517,
7.217619, 19:49:57.323,115.3603,-16.15519,123.9221,-2.209488,12.83583,-0.6547576,8.741873,0.9634417,33.04004,-0.5130357,125.6793,-2.391148,
7.271804, 19:49:57.395,113.2865,-88.28691,123.7884,-2.371975,12.80005,-0.773056,8.792683,1.805335,33.01264,-0.846961,125.5617,-8.729929,
7.34373, 19:49:57.449,104.2263,-106.4481,123.623,-2.526393,12.73834,-0.8275768,8.969546,2.819506,32.93323,-1.059987,124.5783,-16.07494,
7.396827, 19:49:57.521,99.97808,-44.10363,123.4726,-2.278642,12.69658,-0.530371,9.145185,2.223833,32.88012,-0.6471744,123.552,-14.12424,
7.470872, 19:49:57.571,98.61893,121.1254,123.3333,-7.272834,12.67091,-0.4395411,9.252289,9.52762,32.85095,-0.5153294,122.7825,-44.177,
7.520396, 19:49:57.644,114.9454,164.0188,122.5739,-12.08404,12.64227,-0.484532,10.3225,15.72599,32.81644,-0.623455,118.0931,-64.847,
7.592132, 19:49:57.699,118.5077,56.17761,121.868,-9.735909,12.61216,-0.3396971,11.15921,10.50523,32.77535,-0.5390443,114.9193,-38.8702,
7.647354, 19:49:57.768,122.0776,41.24825,121.3378,-7.868027,12.59914,-0.1567811,11.65622,6.775459,32.748,-0.4093956,113.1582,-23.12413,
7.716106, 19:49:57.821,123.6214,16.57495,120.8926,-5.974247,12.59272,-0.1008775,11.99919,4.083452,32.72459,-0.4274378,112.0525,-13.62456,
7.770111, 19:49:57.894,124.1123,7.549938,120.6044,-4.940938,12.58675,-0.139112,12.1575,2.89309,32.69553,-0.7251043,111.4857,-9.55952,
